"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","表示回数0回のレコード取得指定可否/Supports Zero Impressions","組合せ不可フィールド/Not compatible fields","動作区分/Behavior Type"
"COST","コスト","Cost","cost","LONG","true",,"Metric"
"IMPS","インプレッション数","Impressions","impressions","LONG","true",,"Metric"
"CLICKS","クリック数","Clicks","clicks","LONG","true",,"Metric"
"CLICK_RATE","クリック率","CTR","ctr","DOUBLE","true",,"Metric"
"AVG_CPC","平均CPC","Avg. CPC","averageCpc","DOUBLE","true",,"Metric"
"BID_STRATEGY_ID","自動入札ID","Auto Bidding ID","autoBiddingID","LONG","true",,"Attribute"
"BID_STRATEGY_NAME","自動入札名","Auto Bidding Name","autoBiddingName","STRING","true",,"Attribute"
"BID_STRATEGY_TYPE","自動入札タイプ","Auto Bidding Type","autoBiddingType","ENUM","true",,"Attribute"
"ADGROUP_COUNT","広告グループ数","Ad Groups","adGroups","LONG","true",,"Metric"
"CAMPAIGN_COUNT","キャンペーン数","Campaigns","campaigns","LONG","true",,"Metric"
"TARGET_SEARCH_PAGE_LOCATION","掲載位置（検索結果ページの目標掲載位置）","Ad Position (Target position in search results)","adPositionOfTargetPositionInSearchResults","ENUM","true",,"Attribute"
"BID_AUTOMATION","入札調整方法（検索結果ページの目標掲載位置）","Bidding Adjustment Method (Target position in search results)","biddingAdjustmentMethodOfTargetPositionInSearchResults","ENUM","true",,"Attribute"
"BID_MULTIPLIER_OF_TARGET_PAGE_LOCATION","入札価格調整（検索結果ページの目標掲載位置）","Bidding Adjustment (Target position in search results)","biddingAdjustmentOfTargetPositionInSearchResults","LONG","true",,"Attribute"
"LIMITED_BUDGETS","キャンペーン予算による制限（検索結果ページの目標掲載位置）","Limit by Campaign Budget (Target position in search results)","limitByCampaignBudgetOfTargetPositionInSearchResults","ENUM","true",,"Attribute"
"LOW_QUALITY_KEYWORDS","品質が低いキーワード（検索結果ページの目標掲載位置）","Low Quality Keyword (Target position in search results)","lowQualityKeywordOfTargetPositionInSearchResults","ENUM","true",,"Attribute"
"UPPER_BID_LIMIT_OF_TARGET_PAGE_LOCATION","入札価格の上限（検索結果ページの目標掲載位置）","Bid Limit (Target position in search results)","bidLimitForTargetPositionInSearchResults","LONG","true",,"Attribute"
"TARGET_CPA","コンバージョン単価の目標値","Target CPA","targetCpa","DOUBLE","true",,"Attribute"
"UPPER_BID_LIMIT_OF_TARGET_CPA","入札価格の上限（コンバージョン単価の目標値）","Bid Limit (Target CPA)","bidLimitForTargetCpa","LONG","true",,"Attribute"
"LOWER_BID_LIMIT_OF_TARGET_CPA","入札価格の下限（コンバージョン単価の目標値）","Lower Bid Limit (Target CPA)","lowerBidLimitForTargetCpa","LONG","true",,"Attribute"
"TARGET_ROAS","広告費用対効果の目標値","Target ROAS","targetRoas","DOUBLE","true",,"Attribute"
"UPPER_BID_LIMIT_OF_TARGET_ROAS","入札価格の上限（広告費用対効果の目標値）","Bid Limit (Target ROAS)","bidLimitForTargetRoas","LONG","true",,"Attribute"
"LOWER_BID_LIMIT_OF_TARGET_ROAS","入札価格の下限（広告費用対効果の目標値）","Lower Bid Limit (Target ROAS)","lowerBidLimitForTargetRoas","LONG","true",,"Attribute"
"UPPER_BID_LIMIT_OF_MAXIMIZE_CLICKS","入札価格の上限（クリック数の最大化）","Bid Limit (Maximize Clicks)","bidLimitForMaximizeClicks","LONG","true",,"Attribute"
"CONVERSIONS","コンバージョン数","Conversions","conversions","DOUBLE","true",,"Metric"
"CONV_RATE","コンバージョン率","Conv. Rate","convRate","DOUBLE","true",,"Metric"
"CONV_VALUE","コンバージョンの価値","Conv. Value","convValue","DOUBLE","true",,"Metric"
"COST_PER_CONV","コスト/コンバージョン数","Cost Per Conv.","costPerConv","DOUBLE","true",,"Metric"
"VALUE_PER_CONV","価値/コンバージョン数","Value Per Conv.","valuePerConv","DOUBLE","true",,"Metric"
"ALL_CONV","すべてのコンバージョン数","All Conv.","allConv","DOUBLE","true","[HOUR_OF_DAY]","Metric"
"ALL_CONV_RATE","すべてのコンバージョン率","All Conv. Rate","allConvRate","DOUBLE","true","[HOUR_OF_DAY]","Metric"
"ALL_CONV_VALUE","すべてのコンバージョンの価値","All Conv. Value","allConvValue","DOUBLE","true","[HOUR_OF_DAY]","Metric"
"COST_PER_ALL_CONV","コスト/すべてのコンバージョン数","Cost Per All Conv.","costPerAllConv","DOUBLE","true","[HOUR_OF_DAY]","Metric"
"VALUE_PER_ALL_CONV","価値/すべてのコンバージョン数","Value Per All Conv.","valuePerAllConv","DOUBLE","true","[HOUR_OF_DAY]","Metric"
"CROSS_DEVICE_CONVERSIONS","デバイスをまたいだコンバージョン数","Conversions across devices","crossDeviceConversions","DOUBLE","true","[HOUR_OF_DAY]","Metric"
"DEVICE","デバイス","Device","device","ENUM","false",,"Segment"
"DAY","日","Day","day","STRING","false",,"Segment"
"DAY_OF_WEEK","曜日","Day of week","dayOfWeek","ENUM","false",,"Segment"
"QUARTER","四半期","Quarter","quarter","STRING","false",,"Segment"
"YEAR","年間","Year","year","STRING","false",,"Segment"
"MONTH","毎月","Month","month","STRING","false",,"Segment"
"MONTH_OF_YEAR","月","Month of Year","monthofYear","ENUM","false",,"Segment"
"WEEK","毎週","Week","week","STRING","false",,"Segment"
"HOUR_OF_DAY","時間","Hour of day","hourofday","LONG","false","[ALL_CONV, ALL_CONV_RATE, ALL_CONV_VALUE, COST_PER_ALL_CONV, CROSS_DEVICE_CONVERSIONS, VALUE_PER_ALL_CONV]","Segment"
