"フィールド名/fieldName","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","表示回数0回のレコード取得指定可否/Supports Zero Impressions","組合せ不可フィールド/Not compatible fields"
"CAMPAIGN_ID","キャンペーンID","CampaignID","campaignID","LONG",true,
"ADGROUP_ID","広告グループID","Ad Group ID","adgroupID","LONG",true,
"CAMPAIGN_NAME","キャンペーン名","Campaign Name","campaignName","STRING",true,
"ADGROUP_NAME","広告グループ名","Ad Group Name","adgroupName","STRING",true,
"COST","コスト","Cost","cost","LONG",true,"[""OBJECT_OF_CONVERSION_TRACKING"",""CONVERSION_NAME""]"
"IMPS","インプレッション数","Impressions","impressions","LONG",true,"[""OBJECT_OF_CONVERSION_TRACKING"",""CONVERSION_NAME""]"
"CLICKS","クリック数","Clicks","clicks","LONG",true,"[""OBJECT_OF_CONVERSION_TRACKING"",""CONVERSION_NAME""]"
"CLICK_RATE","クリック率","CTR","ctr","DOUBLE",true,"[""OBJECT_OF_CONVERSION_TRACKING"",""CONVERSION_NAME""]"
"AVG_CPC","平均CPC","Avg. CPC","averageCpc","DOUBLE",true,"[""OBJECT_OF_CONVERSION_TRACKING"",""CONVERSION_NAME""]"
"CONVERSIONS","コンバージョン数","Conversions","conversions","DOUBLE",false,
"CONV_RATE","コンバージョン率","Conv. Rate","convRate","DOUBLE",false,"[""OBJECT_OF_CONVERSION_TRACKING"",""CONVERSION_NAME""]"
"CONV_VALUE","コンバージョンの価値","Conv. Value","convValue","DOUBLE",false,
"COST_PER_CONV","コスト/コンバージョン数","Cost Per Conv.","costPerConv","DOUBLE",false,"[""OBJECT_OF_CONVERSION_TRACKING"",""CONVERSION_NAME""]"
"VALUE_PER_CONV","価値/コンバージョン数","Value Per Conv.","valuePerConv","DOUBLE",false,
"ALL_CONV","すべてのコンバージョン数","All Conv.","allConv","DOUBLE",false,
"ALL_CONV_RATE","すべてのコンバージョン率","All Conv. Rate","allConvRate","DOUBLE",false,"[""OBJECT_OF_CONVERSION_TRACKING"",""CONVERSION_NAME""]"
"ALL_CONV_VALUE","すべてのコンバージョンの価値","All Conv. Value","allConvValue","DOUBLE",false,
"COST_PER_ALL_CONV","コスト/すべてのコンバージョン数","Cost Per All Conv.","costPerAllConv","DOUBLE",false,"[""OBJECT_OF_CONVERSION_TRACKING"",""CONVERSION_NAME""]"
"VALUE_PER_ALL_CONV","価値/すべてのコンバージョン数","Value Per All Conv.","valuePerAllConv","DOUBLE",false,
"CAMPAIGN_TRACKING_ID","キャンペーントラッキングID","Campaign Tracking ID","campaignTrackingID","LONG",true,
"ADGROUP_TRACKING_ID","広告グループトラッキングID","Ad Group Tracking ID","adgroupTrackingID","LONG",true,
"NETWORK","広告掲載方式の指定","Network","network","ENUM",false,
"DEVICE","デバイス","Device","device","ENUM",false,
"DAY","日","Day","day","STRING",false,
"DAY_OF_WEEK","曜日","Day of week","dayOfWeek","ENUM",false,
"QUARTER","四半期","Quarter","quarter","STRING",false,
"YEAR","年間","Year","year","STRING",false,
"MONTH","毎月","Month","month","STRING",false,
"MONTH_OF_YEAR","月","Month of Year","monthofYear","ENUM",false,
"WEEK","毎週","Week","week","STRING",false,
"OBJECT_OF_CONVERSION_TRACKING","コンバージョン測定の目的","Objective of Conversion Tracking","objectiveOfConversionTracking","ENUM",false,"[""COST"",""IMPS"",""CLICKS"",""CLICK_RATE"",""AVG_CPC"",""CONV_RATE"",""COST_PER_CONV"",""ALL_CONV_RATE"",""COST_PER_ALL_CONV""]"
"CONVERSION_NAME","コンバージョン名","Conversion Name","conversionName","STRING",false,"[""COST"",""IMPS"",""CLICKS"",""CLICK_RATE"",""AVG_CPC"",""CONV_RATE"",""COST_PER_CONV"",""ALL_CONV_RATE"",""COST_PER_ALL_CONV""]"
"COUNTRY_TERRITORY","国/地域","Country/Territory","countryTerritory","ENUM",false,
"PREFECTURE","都道府県","Prefecture","prefecture","ENUM",false,
"CITY","都市","City","city","ENUM",false,
"CITY_WARD_DISTRICT","市・区・郡","City/Ward/District","cityWardDistrict","ENUM",false,
"LOCATION_TYPE","地域判定の種類","Location Type","locationType","ENUM",false,
