"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","表示回数0回のレコード取得指定可否/Supports Zero Impressions","組合せ不可フィールド/Not compatible fields","動作区分/Behavior Type","備考/Note"
"ACCOUNT_ID","アカウントID","Account ID","accountID","STRING","true",,"Attribute",
"ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING","true",,"Attribute",
"CAMPAIGN_ID","キャンペーンID","CampaignID","campaignID","LONG","true",,"Attribute",
"CAMPAIGN_NAME","キャンペーン名","Campaign Name","campaignName","STRING","true",,"Attribute",
"COST","コスト","Cost","cost","LONG","true",,"Metric",
"IMPS","インプレッション数","Impressions","impressions","LONG","true",,"Metric",
"CLICKS","クリック数","Clicks","clicks","LONG","true",,"Metric",
"CLICK_RATE","クリック率","CTR","ctr","DOUBLE","true",,"Metric",
"AVG_CPC","平均CPC","Avg. CPC","averageCpc","DOUBLE","true",,"Metric",
"BID_MULTIPLIER","入札価格調整率(％)","Bid Adjustment(%)","bidAdjustment","LONG","true",,"Attribute","データ取得出来ない場合、値に[--]が設定されます"
"TARGET_LOCATION_ID","地域ID","Target Location ID","targetLocationID","STRING","true",,"Attribute",
"TARGET_LOCATION_NAME","地域","Target Location Name","targetLocationName","STRING","true",,"Attribute",
"CONVERSIONS","コンバージョン数","Conversions","conversions","DOUBLE","true",,"Metric",
"CONV_RATE","コンバージョン率","Conv. Rate","convRate","DOUBLE","true",,"Metric",
"CONV_VALUE","コンバージョンの価値","Conv. Value","convValue","DOUBLE","true",,"Metric",
"COST_PER_CONV","コスト/コンバージョン数","Cost Per Conv.","costPerConv","DOUBLE","true",,"Metric",
"VALUE_PER_CONV","価値/コンバージョン数","Value Per Conv.","valuePerConv","DOUBLE","true",,"Metric",
"ALL_CONV","すべてのコンバージョン数","All Conv.","allConv","DOUBLE","true",,"Metric",
"ALL_CONV_RATE","すべてのコンバージョン率","All Conv. Rate","allConvRate","DOUBLE","true",,"Metric",
"ALL_CONV_VALUE","すべてのコンバージョンの価値","All Conv. Value","allConvValue","DOUBLE","true",,"Metric",
"COST_PER_ALL_CONV","コスト/すべてのコンバージョン数","Cost Per All Conv.","costPerAllConv","DOUBLE","true",,"Metric",
"VALUE_PER_ALL_CONV","価値/すべてのコンバージョン数","Value Per All Conv.","valuePerAllConv","DOUBLE","true",,"Metric",
"CROSS_DEVICE_CONVERSIONS","デバイスをまたいだコンバージョン数","Conversions across devices","crossDeviceConversions","DOUBLE","true",,"Metric","データ取得出来ない場合、値に[--]が設定されます"
"CAMPAIGN_TRACKING_ID","キャンペーントラッキングID","Campaign Tracking ID","campaignTrackingID","LONG","true",,"Attribute",
"DAY","日","Day","day","STRING","false",,"Segment",
"QUARTER","四半期","Quarter","quarter","STRING","false",,"Segment",
"YEAR","年間","Year","year","STRING","false",,"Segment",
"MONTH","毎月","Month","month","STRING","false",,"Segment",
"MONTH_OF_YEAR","月","Month of Year","monthofYear","ENUM","false",,"Segment",
"WEEK","毎週","Week","week","STRING","false",,"Segment",
"CONV_VALUE_PER_COST","コンバージョンの価値/コスト","Conv. Value Per Cost","convValuePerCost","DOUBLE","true",,"Metrics",
"ALL_CONV_VALUE_PER_COST","すべてのコンバージョンの価値/コスト","All Conv. Value Per Cost","allConvValuePerCost","DOUBLE","true",,"Metrics",
