"フィールド名/fieldName","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not compatible fields","表示回数0回のレコード取得指定可否/Supports Zero Impressions"
"CAMPAIGN_ID","キャンペーンID","CampaignID","campaignID","LONG",,true
"ADGROUP_ID","広告グループID","Ad Group ID","adgroupID","LONG",,true
"CAMPAIGN_NAME","キャンペーン名","Campaign Name","campaignName","STRING",,true
"ADGROUP_NAME","広告グループ名","Ad Group Name","adgroupName","STRING",,true
"COST","コスト","Cost","cost","LONG","[""OBJECT_OF_CONVERSION_TRACKING"",""CONVERSION_NAME""]",true
"IMPS","インプレッション数","Impressions","impressions","LONG","[""OBJECT_OF_CONVERSION_TRACKING"",""CONVERSION_NAME""]",true
"CLICKS","クリック数","Clicks","clicks","LONG","[""OBJECT_OF_CONVERSION_TRACKING"",""CONVERSION_NAME""]",true
"CLICK_RATE","クリック率","CTR","ctr","DOUBLE","[""OBJECT_OF_CONVERSION_TRACKING"",""CONVERSION_NAME""]",true
"AVG_CPC","平均CPC","Avg. CPC","averageCpc","DOUBLE","[""OBJECT_OF_CONVERSION_TRACKING"",""CONVERSION_NAME""]",true
"AVG_DELIVER_RANK","平均掲載順位","Avg. Position","averagePosition","DOUBLE","[""OBJECT_OF_CONVERSION_TRACKING"",""CONVERSION_NAME""]",true
"BID_MULTIPLIER","入札価格調整率(％)","Bid Adjustment(%)","bidAdjustment","LONG",,true
"TARGET_LIST_ID","ターゲットリストID","Target List ID","targetListID","LONG",,true
"TARGET_LIST_NAME","ターゲットリスト名","Target List Name","targetListName","STRING",,true
"TARGET_LIST_STATUS","訪問履歴の蓄積","Reach Status","reachStatus","ENUM",,false
"CONVERSIONS","コンバージョン数","Conversions","conversions","DOUBLE",,true
"CONV_RATE","コンバージョン率","Conv. Rate","convRate","DOUBLE",,true
"CONV_VALUE","コンバージョンの価値","Conv. Value","convValue","DOUBLE",,true
"COST_PER_CONV","コスト/コンバージョン数","Cost Per Conv.","costPerConv","DOUBLE",,true
"VALUE_PER_CONV","価値/コンバージョン数","Value Per Conv.","valuePerConv","DOUBLE",,true
"ALL_CONV","すべてのコンバージョン数","All Conv.","allConv","DOUBLE",,true
"ALL_CONV_RATE","すべてのコンバージョン率","All Conv. Rate","allConvRate","DOUBLE",,true
"ALL_CONV_VALUE","すべてのコンバージョンの価値","All Conv. Value","allConvValue","DOUBLE",,true
"COST_PER_ALL_CONV","コスト/すべてのコンバージョン数","Cost Per All Conv.","costPerAllConv","DOUBLE",,true
"VALUE_PER_ALL_CONV","価値/すべてのコンバージョン数","Value Per All Conv.","valuePerAllConv","DOUBLE",,true
"NETWORK","広告掲載方式の指定","Network","network","ENUM",,false
"CLICK_TYPE","クリック種別","ClickType","clickType","ENUM",,false
"DEVICE","デバイス","Device","device","ENUM",,false
"DAY","日","Day","day","STRING",,false
"DAY_OF_WEEK","曜日","Day of week","dayOfWeek","ENUM",,false
"QUARTER","四半期","Quarter","quarter","STRING",,false
"YEAR","年間","Year","year","STRING",,false
"MONTH","毎月","Month","month","STRING",,false
"MONTH_OF_YEAR","月","Month of Year","monthofYear","ENUM",,false
"WEEK","毎週","Week","week","STRING",,false
"OBJECT_OF_CONVERSION_TRACKING","コンバージョン測定の目的","Objective of Conversion Tracking","objectiveOfConversionTracking","ENUM","[""COST"",""IMPS"",""CLICKS"",""CLICK_RATE"",""AVG_CPC"",""AVG_DELIVER_RANK""]",false
"CONVERSION_NAME","コンバージョン名","Conversion Name","conversionName","STRING","[""COST"",""IMPS"",""CLICKS"",""CLICK_RATE"",""AVG_CPC"",""AVG_DELIVER_RANK""]",false
